,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lat,,53.697,53.698,53.698,53.7,53.701,53.701,53.701,53.701,53.701,53.701,53.701,53.701,53.701,53.701,53.701,53.7,53.7,53.7,53.7,53.7,53.702,53.702,53.702,53.702,53.702,53.703,53.703,53.703,53.703,53.703,53.701,53.701,53.702,53.704,53.704,53.704,53.704,53.704,53.704,53.703,53.703,53.704,53.704,53.705,53.704,53.704,53.705,53.705,53.705,53.705,53.705,53.706,53.707,53.709,53.709,53.709,53.709,53.709,53.709,53.709,53.709,53.71,53.71,53.71,53.712,53.713,53.713,53.714,53.714,53.714,53.713,53.713,53.714,53.714,53.714,53.714,53.716,53.716,53.715,53.715,53.715,53.715,53.715,53.715,53.715,53.715,53.715,53.715,53.715,53.715,53.718,53.718,53.718,53.718,53.718,53.718,53.717
Lon,,-1.3812,-1.3836,-1.3835,-1.3866,-1.378,-1.378,-1.378,-1.3778,-1.3777,-1.3779,-1.3778,-1.3778,-1.3777,-1.3779,-1.3779,-1.4009,-1.4011,-1.3934,-1.4012,-1.3965,-1.3846,-1.3847,-1.3848,-1.3848,-1.3848,-1.3842,-1.3835,-1.3836,-1.3831,-1.3831,-1.4022,-1.4019,-1.3964,-1.3829,-1.3845,-1.3845,-1.3824,-1.3816,-1.3817,-1.3971,-1.3953,-1.3846,-1.3845,-1.3824,-1.3887,-1.3887,-1.3827,-1.3881,-1.383,-1.3893,-1.3884,-1.3832,-1.3832,-1.3807,-1.3806,-1.3809,-1.3807,-1.3806,-1.3842,-1.381,-1.3809,-1.3809,-1.3809,-1.3888,-1.3809,-1.3809,-1.3959,-1.3844,-1.3844,-1.3844,-1.4004,-1.4004,-1.3967,-1.3967,-1.3934,-1.3994,-1.3818,-1.3817,-1.3997,-1.3997,-1.3985,-1.3982,-1.398,-1.398,-1.3979,-1.3998,-1.3995,-1.3982,-1.3982,-1.3981,-1.3832,-1.3831,-1.3832,-1.3831,-1.3831,-1.3831,-1.3979
,11/05/2015,1.0381,-6.3633,-3.3047,-5.3555,-7.2305,-3.3145,-2.7559,-5.3984,-4.6211,-1.5342,-3.6973,-7.4414,-2.5332,-5.3398,-6.2109,3.6816,5.1211,-3.2676,4.5703,1.125,-4.8398,-0.40259,2.5195,1.4238,2.6621,-1.1787,-4.9102,-1.3311,8.4688,1.3086,3.5527,2.3477,1.6406,4.8867,0.63672,2.0918,-3.9805,-4.0898,-3.6094,3.5547,-2.3809,-0.92139,1.2578,-3.6484,4.8906,2.1172,-6.0547,-14.758,-4.2227,-2.7812,-7.2734,-3.1484,2.0273,-0.95068,-5.3945,-5.3711,-5.5547,-4.4258,2.918,-6.6992,-7.7812,-5.5781,-5.8828,-2.7832,-1.7402,-1.6963,12.633,6.7734,-0.018326,-1.0908,-0.12286,0.62109,3.6133,1.5693,2.5547,7.1562,-4.9258,-5.0156,6.125,5.7578,-4.2734,-7.1367,-4.3203,-4.0742,-3.2598,6.832,4.8281,-4.1016,-3.2109,-1.9873,-2.9902,-1.1406,-1.3838,-0.73389,-1.1123,-2.3848,3.7969
,17/05/2015,1.3296,-8.3027,-4.2129,-4.8262,-6.5508,-3.8975,-2.7627,-4.4863,-3.8262,-0.7016,-3.0234,-7.1934,-1.9482,-5.0625,-5.9199,3.5771,4.6973,-3.1025,4.1289,1.124,-1.855,0.21741,2.8516,2.1338,2.3018,-1.4331,-3.6045,-0.83496,9.1172,2.3545,3.2354,2.5889,1.8936,5.5215,1.4014,2.6318,-3.2773,-3.9873,-2.8174,3.5488,-1.7754,-0.56555,1.8057,-3.0059,5.7656,3.2109,-4.6055,-12.82,-3.8174,-1.8884,-5.2803,-2.3438,3.125,-0.74365,-4.5146,-4.4316,-4.5557,-3.4697,3.5176,-5.916,-7.1211,-4.7285,-5.9199,0.022461,-1.6792,-1.7207,14.012,5.2314,0.81799,-0.60172,1.4474,2.0908,3.2031,2.4604,3.5117,7.3457,-4.1035,-3.7939,6.4082,5.957,-2.6821,-6.0469,-3.0264,-2.6572,-1.7579,6.9336,4.8984,-3.2842,-2.5518,-1.7261,-2.3618,-0.75354,-0.74271,-0.17334,-0.90552,-1.6516,3.6953
,23/05/2015,1.6211,-10.242,-5.1211,-4.2969,-5.8711,-4.4805,-2.7695,-3.5742,-3.0312,0.13098,-2.3496,-6.9453,-1.3633,-4.7852,-5.6289,3.4727,4.2734,-2.9375,3.6875,1.123,1.1299,0.8374,3.1836,2.8438,1.9414,-1.6875,-2.2988,-0.33887,9.7656,3.4004,2.918,2.8301,2.1465,6.1562,2.166,3.1719,-2.5742,-3.8848,-2.0254,3.543,-1.1699,-0.20972,2.3535,-2.3633,6.6406,4.3047,-3.1562,-10.883,-3.4121,-0.99561,-3.2871,-1.5391,4.2227,-0.53662,-3.6348,-3.4922,-3.5566,-2.5137,4.1172,-5.1328,-6.4609,-3.8789,-5.957,2.8281,-1.6182,-1.7451,15.391,3.6895,1.6543,-0.11261,3.0176,3.5605,2.793,3.3516,4.4688,7.5352,-3.2812,-2.5723,6.6914,6.1562,-1.0908,-4.957,-1.7324,-1.2402,-0.2561,7.0352,4.9688,-2.4668,-1.8926,-1.4648,-1.7334,-0.36646,-0.10162,0.38721,-0.69873,-0.91846,3.5938
,29/05/2015,2.0771,-10.559,-5.3555,-4.2461,-4.2275,-4.668,-2.6201,-2.7817,-2.5547,0.5943,-1.8096,-6.627,-0.98633,-4.502,-5.3262,3.8652,4.4199,-2.4609,3.7822,1.2568,2.8267,1.8943,3.498,2.8672,1.5576,-1.2646,-2.2109,-0.54443,10.375,4.0107,3.1279,3.0547,2.6816,6.7461,3.0098,3.9551,-0.75488,-3.9062,-1.3335,3.5791,-0.5437,0.24158,3.0244,-1.874,7.8203,5.4883,-2.1763,-9.6172,-2.8896,-0.24915,-1.7228,-0.93774,4.9961,-0.8938,-2.9678,-2.7451,-2.793,-1.7837,4.3184,-4.4082,-6.0469,-2.9326,-5.7676,4.791,-1.2563,-1.3926,15.805,2.5913,1.5981,-0.080475,4.0303,3.9678,2.7188,3.7383,5.4531,8.0371,-2.7158,-1.7029,7.0215,6.5371,-0.12573,-4.3984,-0.99115,-0.42542,0.52869,7.4062,5.2871,-1.8613,-1.5493,-1.4014,-1.4858,-0.42883,0.053619,0.51465,-0.86206,-0.57996,3.6699
,04/06/2015,2.5332,-10.875,-5.5898,-4.1953,-2.584,-4.8555,-2.4707,-1.9893,-2.0781,1.0576,-1.2695,-6.3086,-0.60938,-4.2188,-5.0234,4.2578,4.5664,-1.9844,3.877,1.3906,4.5234,2.9512,3.8125,2.8906,1.1738,-0.8418,-2.123,-0.75,10.984,4.6211,3.3379,3.2793,3.2168,7.3359,3.8535,4.7383,1.0645,-3.9277,-0.6416,3.6152,0.08252,0.69287,3.6953,-1.3848,9,6.6719,-1.1963,-8.3516,-2.3672,0.49731,-0.15857,-0.33643,5.7695,-1.251,-2.3008,-1.998,-2.0293,-1.0537,4.5195,-3.6836,-5.6328,-1.9863,-5.5781,6.7539,-0.89453,-1.04,16.219,1.4932,1.542,-0.04834,5.043,4.375,2.6445,4.125,6.4375,8.5391,-2.1504,-0.8335,7.3516,6.918,0.83936,-3.8398,-0.24988,0.3894,1.3135,7.7773,5.6055,-1.2559,-1.2061,-1.3379,-1.2383,-0.49121,0.20886,0.64209,-1.0254,-0.24146,3.7461
,10/06/2015,2.9053,-10.609,-5.7266,-4.0166,-1.1459,-4.7285,-2.1743,-1.4895,-1.8413,1.126,-0.97144,-5.2207,-0.4679,-4.0771,-4.5215,4.9023,4.8516,-1.7017,4.0166,1.5449,6.0371,3.3906,3.9688,2.6562,1.1167,-1.3486,-1.8154,-1.1016,10.988,5.1133,3.624,3.6553,3.6533,7.9336,4.7236,5.7461,2.6025,-3.7559,-0.11658,3.9209,0.92993,1.5017,4.1152,-0.64661,10.105,7.6914,-0.37671,-7.2227,-1.7617,1.3893,1.1707,0.50171,6.0684,-1.6685,-1.6514,-1.2448,-1.3284,-0.51558,4.7207,-2.874,-4.9414,-0.99014,-4.8086,8.3848,-0.48361,-0.58545,16.109,0.33496,1.127,0.15332,5.8164,4.6348,2.8574,4.5234,7.2012,8.9453,-1.1519,0.19019,7.5391,7.2559,1.1697,-3.4209,0.2193,0.77869,1.5674,8.0293,5.9062,-0.60696,-0.88208,-1.2441,-1.0168,-0.53418,0.29718,0.6958,-1.1328,-0.065887,4.4062
,16/06/2015,3.2773,-10.344,-5.8633,-3.8379,0.29224,-4.6016,-1.8779,-0.98975,-1.6045,1.1943,-0.67334,-4.1328,-0.32642,-3.9355,-4.0195,5.5469,5.1367,-1.4189,4.1562,1.6992,7.5508,3.8301,4.125,2.4219,1.0596,-1.8555,-1.5078,-1.4531,10.992,5.6055,3.9102,4.0312,4.0898,8.5312,5.5938,6.7539,4.1406,-3.584,0.40845,4.2266,1.7773,2.3105,4.5352,0.091553,11.211,8.7109,0.44287,-6.0938,-1.1562,2.2812,2.5,1.3398,6.3672,-2.0859,-1.002,-0.49146,-0.62744,0.022552,4.9219,-2.0645,-4.25,0.0060501,-4.0391,10.016,-0.072693,-0.13086,16,-0.82324,0.71191,0.35498,6.5898,4.8945,3.0703,4.9219,7.9648,9.3516,-0.15332,1.2139,7.7266,7.5938,1.5,-3.002,0.68848,1.168,1.8213,8.2812,6.207,0.041931,-0.55811,-1.1504,-0.79541,-0.57715,0.3855,0.74951,-1.2402,0.10968,5.0664
,22/06/2015,3.5176,-9.8672,-5.8066,-4.0264,0.85999,-4.373,-1.6621,-1.1248,-1.8628,0.75525,-0.71729,-3.3877,-0.45935,-3.7617,-3.5254,6.0664,5.6602,-1.0374,4.793,1.7285,7.082,3.9893,3.7979,1.8613,1.0435,-2.5312,-1.4565,-2.0303,10.484,5.3477,4.3516,4.2031,4.4219,8.6562,5.3867,6.6328,4.5879,-3.248,0.31207,4.4121,1.8696,2.373,4.4922,0.42419,11.637,9.3203,0.28265,-6.1367,-1.189,2.666,2.2549,1.4297,6.1797,-2.5371,-0.8042,-0.30045,-0.46423,0.15141,4.834,-1.6997,-3.3555,0.36802,-3.0645,9.8711,0.27396,0.21631,15.426,-0.82642,0.242,0.43652,6.3594,4.3672,2.8154,4.5195,8.2402,9.4375,0.30469,1.3408,7.7617,7.6641,1.0771,-3.2051,0.42377,0.81775,1.3767,8.3516,6.4043,0.07016,-0.63452,-1.2598,-1.0969,-1.0063,0.32214,0.47388,-1.5664,0.04673,4.8555
