SatSense_Point_Id,X,Y,Velocity,RMSE,D20151114,D20151126,D20151208,D20151220,D20160101,D20160113,D20160125,D20160206,D20160218,D20160313,D20160325,D20160406,D20160418,D20160430,D20160512,D20160524,D20160605,D20160629,D20160711,D20160723,D20160804,D20160816,D20160828,D20160909,D20160921,D20161003,D20161009,D20161015,D20161021,D20161027,D20161102,D20161108,D20161114,D20161120,D20161126,D20161202,D20161208,D20161214,D20161220,D20161226,D20170101,D20170107,D20170113,D20170119,D20170125,D20170131,D20170206,D20170212,D20170218,D20170224,D20170302,D20170308,D20170314,D20170320,D20170326,D20170401,D20170407,D20170413,D20170419,D20170425,D20170501,D20170507,D20170513,D20170519,D20170525,D20170531,D20170606,D20170612,D20170618,D20170624,D20170630,D20170706,D20170712,D20170718,D20170724,D20170730,D20170805,D20170811,D20170817,D20170823,D20170829,D20170904,D20170910,D20170916,D20170922,D20170928,D20171010,D20171016,D20171022,D20171028,D20171103,D20171109,D20171115,D20171121,D20171127,D20171203,D20171209,D20171215,D20171221,D20171227,D20180102,D20180108,D20180114,D20180120,D20180126,D20180201,D20180207,D20180213,D20180219,D20180225,D20180303,D20180309,D20180315,D20180321,D20180327,D20180402,D20180408,D20180414,D20180420,D20180426,D20180502,D20180508,D20180514,D20180520,D20180526,D20180601,D20180607,D20180613,D20180619,D20180625,D20180701,D20180707,D20180713,D20180719,D20180725,D20180731,D20180806,D20180812,D20180818,D20180824,D20180830,D20180905,D20180911,D20180917,D20180923,D20180929,D20181005,D20181011,D20181017,D20181023,D20181029,D20181104,D20181110,D20181116,D20181122,D20181128,D20181204,D20181216
132A_03624_131311_3811_2840,467997.33,468716.62,-0.76,1.98,-0.47,-0.65,-0.13,-0.05,-0.16,-0.09,-0.1,-0.17,-0.58,-1.15,-2.03,-3.35,-4.04,-4.17,-2.52,0.1,2.64,3.2,0.67,-1.47,-2.9,-1.46,0.02,1.49,1.56,1.23,0.68,0.57,0.53,0.19,-0.27,-1.05,-1.22,-1.33,-0.92,-0.43,-0.15,-0.23,-1.16,-2.13,-3.09,-3.29,-3.08,-2.64,-1.92,-1.59,-1.44,-2.24,-2.88,-3.49,-3.31,-3.1,-3.17,-3.99,-5.06,-6.18,-6.71,-7.03,-5.99,-5.18,-3.84,-4.21,-4.43,-5.44,-6.15,-7.26,-8.62,-9.33,-9.59,-9.63,-8.74,-7.38,-3.76,-1.43,1.38,2.57,3.99,4.78,4.71,4.98,4.38,4.65,3.94,3.72,3.21,3.61,4.12,4.48,4.03,3.33,2.99,3.08,3.21,2.58,1.93,1.62,2.3,3.4,4.31,4.88,5.21,5.64,5.89,5.66,4.91,4.18,3.63,3.32,3.02,2.74,2.73,2.61,2.62,2.35,1.85,1.56,1.76,2.95,4.0,4.31,3.27,1.34,0.02,-0.88,-0.85,-1.92,-2.97,-4.48,-5.15,-5.41,-5.91,-6.61,-7.72,-7.71,-7.23,-5.46,-4.17,-2.79,-2.52,-2.6,-3.35,-4.82,-5.96,-6.88,-6.17,-5.78,-5.46,-6.62,-7.6,-7.91,-7.17,-6.1,-5.93,-6.41,-7.57,-7.84,-7.82,-6.88
132A_03624_131311_3811_2843,468127.84,468741.46,-13.88,2.32,-6.32,-5.0,-4.19,-4.12,-3.96,-4.55,-4.4,-4.05,-3.49,-3.77,-4.85,-5.69,-6.45,-6.49,-6.12,-4.52,-3.21,-3.81,-6.5,-10.65,-12.71,-13.3,-12.88,-13.27,-14.53,-14.93,-15.62,-16.05,-17.39,-18.05,-18.27,-18.06,-18.08,-17.64,-16.88,-15.51,-14.59,-13.63,-13.12,-12.41,-12.38,-12.73,-13.7,-14.59,-15.07,-14.75,-13.91,-12.75,-11.95,-11.18,-10.41,-9.37,-8.9,-9.66,-11.63,-13.77,-15.37,-16.38,-17.12,-17.55,-17.75,-18.08,-18.67,-19.41,-20.97,-23.39,-26.92,-28.83,-30.08,-30.02,-30.41,-30.72,-31.2,-32.44,-33.03,-32.78,-31.19,-29.8,-28.59,-28.44,-28.88,-30.33,-31.75,-31.72,-31.19,-29.77,-28.69,-27.44,-26.7,-26.31,-25.7,-24.94,-24.75,-25.03,-25.11,-24.5,-23.58,-23.56,-23.92,-24.36,-24.14,-23.56,-22.8,-22.45,-22.86,-24.27,-25.48,-26.03,-26.83,-27.39,-28.08,-26.33,-24.78,-23.41,-23.88,-24.22,-24.28,-23.83,-23.48,-23.98,-25.12,-27.09,-28.47,-29.7,-30.23,-31.41,-32.44,-34.59,-36.12,-38.53,-40.31,-42.78,-44.69,-45.75,-45.62,-43.56,-41.97,-40.78,-42.22,-43.88,-45.66,-46.09,-45.12,-44.19,-43.31,-44.09,-44.81,-45.28,-44.72,-44.0,-44.25,-45.62,-46.94,-47.03,-45.97,-44.94,-44.38,-44.31
132A_03624_131311_3811_2844,468172.99,468750.2,-3.08,2.05,0.88,1.96,2.32,2.96,3.0,3.66,4.61,6.07,7.42,7.95,7.26,5.2,3.63,3.05,4.12,5.09,5.68,4.77,2.75,-0.54,-3.0,-5.28,-5.84,-6.64,-6.0,-5.67,-4.95,-4.32,-3.78,-3.94,-4.43,-4.85,-3.87,-3.41,-2.77,-2.95,-2.79,-3.32,-4.95,-6.85,-8.66,-9.04,-8.57,-7.24,-5.64,-4.66,-4.22,-4.24,-3.6,-1.96,-0.33,0.7,0.13,-1.02,-2.45,-2.91,-2.51,-1.84,-1.88,-2.54,-2.91,-2.53,-2.41,-3.22,-5.39,-8.55,-12.62,-16.17,-17.73,-16.98,-16.02,-15.84,-16.72,-17.3,-17.5,-17.27,-17.03,-15.97,-14.8,-13.3,-12.28,-10.98,-9.14,-7.25,-5.36,-5.0,-5.91,-7.5,-8.96,-9.59,-9.74,-9.05,-7.85,-6.7,-5.72,-4.99,-4.86,-5.22,-6.41,-7.34,-7.72,-6.97,-5.81,-5.0,-5.23,-6.2,-7.64,-9.04,-9.2,-8.47,-6.99,-6.83,-7.2,-7.72,-7.77,-7.29,-6.78,-5.54,-4.64,-4.0,-4.57,-5.08,-5.66,-6.06,-6.41,-6.32,-5.47,-4.54,-3.9,-3.51,-3.82,-5.14,-7.19,-8.58,-8.39,-6.99,-6.04,-4.8,-4.19,-3.15,-3.55,-4.36,-5.64,-6.36,-7.12,-7.18,-7.43,-7.09,-7.2,-6.91,-6.68,-6.7,-7.17,-7.88,-7.9,-7.01,-5.67,-4.6
132A_03624_131311_3812_2839,467961.55,468752.18,1.08,2.15,7.23,7.03,6.84,5.7,4.48,3.57,4.49,6.03,7.23,6.5,4.86,3.18,2.97,3.49,3.73,2.97,1.95,1.5,2.07,2.6,3.28,2.69,1.57,-0.73,-2.45,-3.53,-3.56,-3.58,-3.65,-3.79,-3.62,-3.13,-2.31,-1.3,-0.48,-0.19,-0.91,-2.17,-3.38,-3.84,-3.72,-3.34,-2.8,-2.07,-1.4,-1.01,-1.06,-1.03,-1.04,-1.04,-1.11,-1.08,-0.7,-0.64,-0.76,-1.57,-2.55,-3.22,-3.55,-2.84,-1.87,-0.29,-0.47,-1.49,-3.72,-5.51,-7.39,-8.41,-7.19,-5.13,-3.54,-3.31,-3.66,-3.21,-3.77,-3.42,-2.77,-0.6,1.71,2.88,3.61,3.26,3.78,4.24,5.17,5.31,4.91,4.37,3.87,3.78,3.42,3.52,3.51,4.25,5.43,6.95,7.87,7.89,7.34,6.96,6.75,6.8,6.79,6.74,6.7,6.06,5.52,4.59,4.32,3.99,4.18,4.38,4.38,4.78,5.43,7.02,8.34,9.73,10.26,10.23,8.9,7.91,7.04,7.37,7.28,7.17,6.52,6.38,5.84,5.12,3.8,3.15,3.42,3.77,4.22,3.75,3.71,3.41,3.43,3.09,2.56,1.99,1.64,1.72,1.38,0.85,-0.25,-0.8,-0.98,-0.42,0.09,0.14,-0.13,-0.36,-0.0,0.11,0.47,0.34
132A_03624_131311_3812_2841,468046.21,468768.28,1.59,2.64,0.75,2.2,3.2,4.18,5.0,5.92,6.95,7.57,7.93,8.12,7.77,6.71,4.24,2.34,1.6,2.7,4.96,6.01,5.68,1.79,-2.02,-5.1,-5.41,-3.69,-1.31,1.05,1.79,1.74,1.03,0.89,0.7,0.77,0.37,0.39,0.44,0.44,0.12,-0.68,-1.64,-2.99,-4.1,-4.84,-4.71,-4.05,-3.34,-2.92,-3.51,-3.95,-4.48,-3.47,-2.07,-0.33,0.48,0.28,-0.83,-2.36,-3.94,-5.2,-5.9,-5.97,-5.38,-4.97,-4.88,-5.78,-5.25,-3.51,0.8,3.15,4.44,2.94,-0.8,-4.94,-8.64,-5.68,-1.47,3.55,4.34,4.85,5.4,5.93,5.18,3.6,2.19,1.39,1.42,2.71,4.8,6.25,6.76,6.43,6.2,5.32,5.35,6.05,8.52,10.43,11.3,10.66,9.47,9.88,10.86,12.78,13.04,12.92,11.98,11.8,11.54,11.22,10.13,9.54,9.3,9.05,8.33,7.14,7.02,7.33,8.46,9.3,9.34,8.45,6.85,6.14,5.95,5.55,4.25,2.92,2.32,2.34,2.52,2.82,3.22,3.45,3.3,2.81,2.06,1.34,1.16,1.14,1.31,0.99,1.19,1.28,2.19,2.77,3.49,3.0,2.55,1.93,2.07,1.8,1.96,2.17,3.07,3.48,3.74,3.65,3.74,4.02
132A_03624_131311_3812_2842,468089.08,468776.55,0.42,2.5,-6.43,-5.23,-4.24,-2.68,-2.02,-1.68,-2.34,-2.95,-2.9,-2.17,-1.73,-2.86,-5.0,-7.54,-8.79,-10.84,-12.79,-15.4,-14.6,-12.52,-10.55,-10.2,-9.63,-7.57,-5.46,-4.31,-3.71,-2.77,-0.82,1.55,3.47,4.15,3.75,3.3,3.66,4.48,5.29,5.41,5.32,4.71,4.2,3.38,3.25,3.57,4.38,4.9,5.08,4.93,5.28,5.8,7.08,8.18,9.41,9.52,8.89,7.21,5.77,4.56,3.7,2.97,2.77,3.01,2.99,2.34,2.07,2.24,4.13,4.16,3.98,0.21,-1.95,-3.91,-2.44,-0.78,0.89,1.19,1.69,1.94,2.3,1.77,1.85,1.96,2.85,3.42,4.23,5.1,6.31,7.56,8.31,8.25,7.87,7.61,7.59,7.62,7.32,7.79,8.91,10.8,11.2,9.98,7.92,7.29,8.12,9.02,9.16,8.24,7.28,6.61,6.19,6.05,5.88,7.09,8.77,10.02,9.55,8.38,7.9,8.73,9.82,10.51,9.71,7.89,4.97,2.28,-0.27,-1.95,-3.69,-4.58,-5.53,-6.32,-7.51,-8.34,-8.79,-8.74,-8.54,-8.12,-7.41,-7.03,-6.56,-6.76,-6.91,-7.25,-7.63,-7.71,-7.83,-7.47,-7.49,-7.79,-8.28,-8.23,-7.32,-5.85,-4.75,-4.26,-4.13,-3.86,-3.51,-3.38
132A_03624_131311_3813_2839,467968.38,468796.01,0.57,2.38,7.81,5.3,3.86,1.43,0.7,-0.23,0.07,0.62,1.48,1.97,1.81,0.86,-0.37,-1.72,-2.62,-3.87,-4.68,-4.61,-3.16,-1.75,-0.99,-0.84,-0.7,-1.08,-1.53,-2.13,-1.0,0.91,3.14,3.4,2.33,0.51,-0.82,-1.74,-1.95,-1.59,-0.64,0.43,0.65,0.18,-0.83,-0.88,-0.68,-0.24,-0.05,0.35,0.9,1.43,2.11,3.03,4.23,5.11,5.2,4.05,1.94,-0.53,-2.06,-2.31,-1.25,-0.64,-0.22,-0.92,-1.15,-2.36,-2.72,-2.35,-1.06,0.08,-2.15,-3.93,-5.94,-4.57,-4.43,-3.9,-3.24,-0.37,2.32,3.74,3.23,3.13,3.35,3.69,2.37,0.74,-0.18,1.11,2.8,4.23,4.54,4.32,3.34,2.46,2.34,3.27,3.95,4.46,4.75,5.24,5.25,4.56,4.16,4.27,5.3,6.05,6.07,5.02,3.56,2.53,2.75,3.39,3.68,3.0,2.11,1.68,2.17,3.12,4.52,5.04,5.5,4.95,4.12,2.72,2.05,2.37,2.9,2.78,2.32,1.25,0.46,-1.04,-1.23,-1.83,-1.36,-1.52,-0.6,-0.61,-0.26,-0.32,0.64,1.27,0.92,-0.18,-1.7,-1.38,-0.97,0.02,-0.61,-0.8,-0.74,0.04,0.61,0.6,0.58,0.76,1.08,1.77,2.12,2.94
132A_03624_131311_3813_2842,468093.5,468819.92,-0.24,2.12,1.59,2.65,3.22,3.78,3.68,4.06,4.33,4.51,4.19,3.61,2.36,0.21,-2.08,-3.59,-4.42,-5.24,-5.57,-4.22,-2.04,-0.89,-2.1,-3.2,-2.38,0.69,3.73,4.96,4.34,3.33,2.87,2.57,1.61,0.34,-0.29,-0.06,0.29,0.27,0.13,-0.3,-1.21,-3.15,-4.89,-5.57,-4.98,-3.75,-3.23,-3.09,-3.72,-3.87,-3.92,-2.9,-1.55,0.11,1.14,1.43,0.85,-0.39,-2.14,-3.62,-4.75,-5.03,-5.21,-5.0,-4.54,-4.9,-6.43,-9.88,-12.23,-12.61,-10.23,-7.69,-6.41,-6.38,-6.13,-5.78,-5.73,-6.49,-5.86,-4.07,-1.9,-1.29,-1.4,-0.7,1.36,3.26,3.64,2.67,2.14,2.73,3.96,4.68,4.59,3.99,3.63,3.64,4.04,4.55,5.52,6.6,7.55,7.13,6.44,5.14,4.69,4.05,4.04,4.48,5.23,5.61,4.55,3.21,2.18,3.07,4.64,7.3,9.06,10.52,10.81,11.37,11.78,11.43,10.01,8.33,7.16,6.34,4.77,2.65,0.41,-1.06,-1.89,-2.71,-3.55,-4.65,-5.29,-5.93,-5.95,-6.29,-6.02,-5.53,-4.33,-4.04,-5.21,-6.99,-8.33,-7.95,-7.04,-6.11,-6.07,-6.53,-6.63,-6.06,-5.02,-3.98,-3.27,-2.63,-2.29,-2.0,-2.01,-1.93
132A_03624_131311_3813_2844,468177.5,468836.01,-4.07,1.92,-5.46,-7.59,-8.55,-8.82,-7.86,-6.74,-5.72,-5.18,-5.26,-5.84,-6.77,-8.23,-9.91,-11.21,-10.62,-8.26,-6.27,-5.91,-8.09,-9.12,-9.4,-7.67,-5.86,-3.73,-2.02,-1.48,-1.01,-1.03,-0.51,-0.61,-0.72,-1.25,-1.91,-2.36,-2.18,-1.57,-0.88,-0.85,-0.85,-1.1,-0.84,-0.4,0.39,1.0,1.23,1.26,1.61,1.8,1.67,0.92,0.79,1.62,3.11,4.09,4.12,3.22,1.84,-0.18,-2.14,-3.98,-5.21,-6.43,-7.04,-6.77,-6.18,-4.98,-5.11,-3.96,-4.76,-5.15,-9.08,-12.14,-14.65,-13.24,-9.77,-4.99,-1.0,0.88,0.15,-1.87,-4.25,-5.7,-6.37,-5.49,-3.92,-2.6,-2.31,-2.45,-2.69,-2.78,-3.25,-2.97,-2.51,-1.72,-2.07,-2.65,-3.3,-4.03,-5.16,-7.34,-9.36,-10.98,-11.61,-11.5,-10.98,-9.92,-8.88,-8.02,-7.21,-6.88,-7.17,-8.64,-10.32,-11.55,-11.72,-10.86,-9.3,-8.27,-7.98,-8.54,-9.43,-11.34,-13.17,-14.54,-14.24,-14.09,-14.07,-14.81,-15.48,-15.83,-16.48,-16.92,-17.88,-17.97,-17.91,-17.45,-16.95,-16.5,-15.87,-15.8,-15.95,-16.3,-16.45,-15.91,-15.01,-14.27,-14.54,-15.52,-16.12,-15.88,-14.8,-13.95,-13.49,-13.03,-11.81,-9.82,-8.18,-6.9
132A_03624_131311_3814_2838,467931.95,468831.13,-9.79,2.36,2.12,2.23,1.54,1.61,1.69,1.8,0.79,-0.24,-0.74,-0.45,-0.54,-1.84,-3.64,-5.08,-5.33,-4.82,-5.12,-6.08,-7.95,-8.76,-8.59,-7.94,-7.53,-7.8,-8.44,-8.5,-7.96,-6.71,-5.96,-5.86,-6.8,-8.71,-10.33,-10.98,-10.7,-11.03,-11.77,-12.73,-13.29,-14.43,-15.89,-17.27,-17.7,-16.53,-14.34,-11.61,-9.89,-10.23,-11.84,-13.79,-14.13,-13.84,-13.42,-14.2,-15.58,-16.91,-17.2,-17.45,-17.75,-18.34,-17.97,-17.11,-16.53,-16.73,-17.38,-17.38,-17.42,-18.09,-19.28,-20.52,-20.44,-21.16,-20.11,-19.03,-15.73,-14.38,-14.11,-15.88,-16.73,-17.14,-17.08,-17.95,-18.64,-19.47,-19.69,-21.06,-21.48,-21.83,-20.34,-19.69,-18.73,-18.78,-18.17,-18.06,-16.75,-15.55,-14.21,-15.08,-16.77,-19.0,-19.7,-19.84,-19.52,-18.73,-17.78,-16.67,-17.42,-19.19,-21.81,-23.27,-22.92,-20.94,-18.45,-17.47,-18.31,-20.31,-22.2,-22.83,-22.22,-20.92,-19.62,-19.83,-21.02,-23.0,-24.03,-24.39,-24.5,-24.11,-24.08,-23.89,-25.48,-26.39,-27.36,-26.48,-26.19,-25.22,-24.91,-24.39,-25.16,-26.59,-28.62,-29.81,-30.02,-29.7,-30.05,-31.08,-32.22,-32.62,-32.34,-32.09,-31.34,-31.03,-30.02,-30.11,-29.73,-30.0,-29.84,-30.02
